,시간,연도,연휴이름,연휴이름코드,연휴기간,연휴기간코드,출발지역,출발지역코드,도착지역,도착지역코드,방향,방향코드,소요시간
0,00,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,81.403
1,01,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,81.29
2,02,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,82.466
3,03,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,83.38
4,04,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.008
5,05,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,89.244
6,06,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.53
7,07,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,84.1
8,08,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.123
9,09,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,87.458
10,10,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,90.942
11,11,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.122
12,12,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,97.322
13,13,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,98.986
14,14,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,98.658
15,15,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,97.105
16,16,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,95.972
17,17,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.627
18,18,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.702
19,19,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,92.664
20,20,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,90.693
21,21,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,87.486
22,22,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,84.966
23,23,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,88.466
24,00,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,160.744
25,01,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,178.616
26,02,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,225.283
27,03,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,164.562
28,04,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,165.208
29,05,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,187.483
30,06,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,169.637
31,07,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,165.008
32,08,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,163.97
33,09,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,177.99
34,10,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,178.813
35,11,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,179.79
36,12,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,181.26
37,13,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,191.778
38,14,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,192.388
39,15,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,191.814
40,16,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,192.372
41,17,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,185.8
42,18,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,185.483
43,19,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,184.0
44,20,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,181.083
45,21,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,167.65
46,22,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,172.1
47,23,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,167.383
48,00,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,225.933
49,01,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,236.6
50,02,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,238.233
51,03,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,239.442
52,04,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,233.616
53,05,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,237.275
54,06,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,243.65
55,07,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,243.508
56,08,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,241.3
57,09,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,248.942
58,10,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,252.558
59,11,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,253.192
60,12,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,280.983
61,13,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,280.922
62,14,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,282.272
63,15,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,266.2
64,16,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,272.75
65,17,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,287.978
