stdHour,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,stUnitNm,stUnitCode,edUnitNm,edUnitCode,dirNm,dirCode,trtm
00,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,81.4
01,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,81.29
02,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,82.47
03,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,83.38
04,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.01
05,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,89.24
06,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.53
07,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,84.1
08,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,85.12
09,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,87.46
10,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,90.94
11,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.12
12,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,97.32
13,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,98.99
14,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,98.66
15,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,97.11
16,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,95.97
17,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.63
18,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,94.7
19,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,92.66
20,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,90.69
21,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,87.49
22,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,84.97
23,2021,연말연시,1,D,4,서울,101 ,대전,115 ,귀성방향,1,88.47
00,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,160.74
01,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,178.62
02,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,225.28
03,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,164.56
04,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,165.21
05,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,187.48
06,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,169.64
07,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,165.01
08,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,163.97
09,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,177.99
10,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,178.81
11,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,179.79
12,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,181.26
13,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,191.78
14,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,192.39
15,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,191.81
16,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,192.37
17,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,185.8
18,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,185.48
19,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,184.0
20,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,181.08
21,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,167.65
22,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,172.1
23,2021,연말연시,1,D,4,서울,101 ,대구,127 ,귀성방향,1,167.38
00,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,225.93
01,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,236.6
02,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,238.23
03,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,239.44
04,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,233.62
05,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,237.28
06,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,243.65
07,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,243.51
08,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,241.3
09,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,248.94
10,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,252.56
11,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,253.19
12,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,280.98
13,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,280.92
14,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,282.27
15,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,266.2
16,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,272.75
17,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,287.98
18,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,287.72
19,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,284.1
20,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,261.6
21,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,292.62
22,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,285.1
23,2021,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,253.28
00,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,284.97
01,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,185.93
02,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,191.68
03,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,197.93
04,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,204.62
05,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,203.49
06,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,199.99
07,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,199.13
08,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,197.81
09,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,192.72
10,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,201.36
11,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,203.36
12,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,205.85
13,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,200.92
14,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,204.56
15,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,205.74
16,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,202.57
17,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,201.95
18,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,198.56
19,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,187.3
20,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,191.55
21,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,181.43
22,2021,연말연시,1,D,4,서울,101 ,광주,167 ,귀성방향,1,203.37
00,2021,연말연시,1,D,4,서울,101 ,강릉,189 ,귀성방향,1,140.95
01,2021,연말연시,1,D,4,서울,101 ,강릉,189 ,귀성방향,1,135.16
02,2021,연말연시,1,D,4,서울,101 ,강릉,189 ,귀성방향,1,141.47
03,2021,연말연시,1,D,4,서울,101 ,강릉,189 ,귀성방향,1,142.54
